date,currency,exchange_rate
2024-01-01,ARS,79.50924152
2024-01-01,AZN,0.16230904
2024-01-01,BHD,0.03697738
2024-01-01,BIF,281.76851852
2024-01-01,BMD,0.09834410
2024-01-01,BOB,0.65428994
2024-01-01,BWP,1.32207941
2024-01-01,BYN,0.31299949
2024-01-01,CNY,0.70104811
2024-01-01,CUP,2.36025851
2024-01-01,DJF,17.47781258
2024-01-01,DKK,0.66408393
2024-01-01,ERN,1.47516157
2024-01-01,FKP,0.07722314
2024-01-01,FOK,0.66408246
2024-01-01,GHS,1.17486939
2024-01-01,GIP,0.07722314
2024-01-01,GTQ,0.74206579
2024-01-01,IMP,0.07722314
2024-01-01,IQD,130.04700855
2024-01-01,IRR,4180.77525750
2024-01-01,JMD,14.65225384
2024-01-01,JPY,13.88256344
2024-01-01,LBP,1475.16156594
2024-01-01,LKR,31.60841890
2024-01-01,LRD,17.99562537
2024-01-01,MGA,454.19402985
2024-01-01,MUR,4.26940042
2024-01-01,MZN,6.28784887
2024-01-01,NIO,3.46561672
2024-01-01,NOK,1.00000000
2024-01-01,SDG,44.36005831
2024-01-01,SGD,0.12981666
2024-01-01,TND,0.30127548
2024-01-01,TZS,247.73741505
2024-01-01,XAF,58.39830580
2024-01-01,XDR,0.07312855
2024-01-01,XOF,58.39830580
2024-01-01,ZWL,591.62318949
2024-01-02,ALL,9.29427953
2024-01-02,AUD,0.14386147
2024-01-02,AWG,0.17511450
2024-01-02,BMD,0.09782933
2024-01-02,BND,0.12955342
2024-01-02,BRL,0.47638481
2024-01-02,BSD,0.09782933
2024-01-02,BYN,0.31360158
2024-01-02,BZD,0.19565865
2024-01-02,CVE,9.80149128
2024-01-02,DJF,17.38632580
2024-01-02,EGP,3.01681222
2024-01-02,ERN,1.46743990
2024-01-02,HRK,0.66974413
2024-01-02,HTG,12.97098168
2024-01-02,IQD,129.11431624
2024-01-02,ISK,13.37274331
2024-01-02,KGS,8.75825906
2024-01-02,MNT,337.73033236
2024-01-02,MYR,0.45165549
2024-01-02,MZN,6.25531941
2024-01-02,NGN,82.58950539
2024-01-02,NPR,13.06622356
2024-01-02,OMR,0.03761508
2024-01-02,RON,0.44241673
2024-01-02,RSD,10.44032478
2024-01-02,SAR,0.36685998
2024-01-02,SBD,0.81351539
2024-01-02,SEK,0.99025036
2024-01-02,SLE,2.24164678
2024-01-02,THB,3.35183184
2024-01-02,TMT,0.34470328
2024-01-02,TVD,0.14383696
2024-01-02,TWD,3.00743943
2024-01-02,UGX,371.01753635
2024-01-02,VES,3.51773680
2024-01-02,VUV,11.59636439
2024-01-02,XOF,58.30822850
2024-01-02,ZMW,2.52232904
2024-01-03,ARS,78.33378522
2024-01-03,AZN,0.16371441
2024-01-03,BAM,0.17278337
2024-01-03,BWP,1.30916578
2024-01-03,BZD,0.19326167
2024-01-03,CAD,0.12882141
2024-01-03,CNY,0.69099085
2024-01-03,COP,381.41700203
2024-01-03,DKK,0.65871204
2024-01-03,FKP,0.07646923
2024-01-03,GEL,0.26029956
2024-01-03,GGP,0.07646923
2024-01-03,GIP,0.07646923
2024-01-03,GMD,6.31080419
2024-01-03,HNL,2.37239482
2024-01-03,IDR,1497.60062210
2024-01-03,IMP,0.07646923
2024-01-03,INR,8.05899405
2024-01-03,JOD,0.06851126
2024-01-03,JPY,13.76976648
2024-01-03,KES,15.21312304
2024-01-03,LRD,18.40323564
2024-01-03,LYD,0.46341958
2024-01-03,MAD,0.95987826
2024-01-03,MGA,445.26119403
2024-01-03,MWK,164.09222986
2024-01-03,MYR,0.44771806
2024-01-03,NAD,1.80201623
2024-01-03,NOK,1.00000000
2024-01-03,PGK,0.35799399
2024-01-03,PLN,0.38553832
2024-01-03,SCR,1.33742412
2024-01-03,STN,2.16439695
2024-01-03,SZL,1.80201623
2024-01-03,TJS,1.06560626
2024-01-03,TWD,2.99337554
2024-01-03,TZS,243.80035810
2024-01-03,UAH,3.70011352
2024-01-03,XDR,0.07262912
2024-01-03,ZAR,1.80169188
2024-01-04,AOA,81.55089943
2024-01-04,ARS,78.55678198
2024-01-04,BBD,0.19368536
2024-01-04,BND,0.12866735
2024-01-04,BTN,8.05747460
2024-01-04,CVE,9.76237587
2024-01-04,DOP,5.53832742
2024-01-04,EUR,0.08854273
2024-01-04,FJD,0.21590361
2024-01-04,GEL,0.25986428
2024-01-04,HKD,0.75617303
2024-01-04,HNL,2.36599900
2024-01-04,HUF,33.63119121
2024-01-04,IDR,1500.13206368
2024-01-04,ILS,0.35388000
2024-01-04,IMP,0.07639679
2024-01-04,KID,0.14392343
2024-01-04,KYD,0.08070220
2024-01-04,MDL,1.69412153
2024-01-04,MGA,443.84328358
